    x (mm)     y (mm) delta (deg)
     2.222      4.154      42.48
     4.443      5.529      21.03
     5.186      5.813      20.81
     5.725      6.016      20.60
     6.172      6.184      20.39
     6.569      6.330      20.18
     6.931      6.463      19.96
     7.271      6.585      19.75
     7.593      6.700      19.54
     7.903      6.810      19.33
     8.202      6.914      19.11
     8.495      7.015      18.90
     8.781      7.112      18.69
     9.062      7.207      18.48
     9.339      7.299      18.27
     9.613      7.389      18.05
     9.885      7.477      17.84
    10.156      7.563      17.63
    10.425      7.648      17.42
    10.693      7.732      17.20
    10.960      7.814      16.99
    11.227      7.895      16.78
    11.495      7.975      16.57
    11.762      8.054      16.35
    12.030      8.132      16.14
    12.299      8.210      15.93
    12.569      8.286      15.72
    12.839      8.362      15.50
    13.111      8.437      15.29
    13.384      8.511      15.08
    13.659      8.584      14.87
    13.935      8.657      14.65
    14.213      8.729      14.44
    14.492      8.800      14.23
    14.774      8.871      14.02
    15.058      8.942      13.81
    15.343      9.011      13.59
    15.631      9.080      13.38
    15.921      9.149      13.17
    16.213      9.216      12.96
    16.508      9.284      12.74
    16.806      9.350      12.53
    17.105      9.416      12.32
    17.408      9.482      12.11
    17.713      9.547      11.89
    18.021      9.611      11.68
    18.332      9.675      11.47
    18.646      9.738      11.26
    18.963      9.800      11.04
    19.283      9.862      10.83
    19.606      9.923      10.62
    19.932      9.984      10.41
    20.262     10.044      10.19
    20.594     10.103       9.98
    20.931     10.161       9.77
    21.270     10.219       9.56
    21.613     10.276       9.35
    21.960     10.333       9.13
    22.311     10.388       8.92
    22.665     10.443       8.71
    23.023     10.498       8.50
    23.384     10.551       8.28
    23.750     10.603       8.07
    24.119     10.655       7.86
    24.493     10.706       7.65
    24.871     10.756       7.43
    25.252     10.805       7.22
    25.638     10.853       7.01
    26.029     10.900       6.80
    26.423     10.947       6.58
    26.822     10.992       6.37
    27.226     11.036       6.16
    27.634     11.080       5.95
    28.047     11.122       5.73
    28.464     11.163       5.52
    28.886     11.203       5.31
    29.313     11.242       5.10
    29.745     11.280       4.88
    30.182     11.316       4.67
    30.624     11.351       4.46
    31.071     11.385       4.25
    31.523     11.418       4.04
    31.980     11.450       3.82
    32.443     11.480       3.61
    32.911     11.508       3.40
    33.385     11.536       3.19
    33.864     11.561       2.97
    34.349     11.586       2.76
    34.839     11.608       2.55
    35.336     11.630       2.34
