Wall contour points (x, y, delta):
    x (mm)     y (mm) delta (deg)
     3.451,      2.806, 0
     4.139,      2.654, 0
     4.658,      2.538, 0
     5.101,      2.436, 0
     5.500,      2.343, 0
     5.869,      2.255, 0
     6.219,      2.170, 0
     6.553,      2.087, 0
     6.876,      2.004, 0
     7.189,      1.923, 0
     7.496,      1.842, 0
     7.797,      1.760, 0
     8.093,      1.678, 0
     8.385,      1.595, 0
     8.673,      1.511, 0
     8.959,      1.427, 0
     9.241,      1.341, 0
     9.522,      1.254, 0
     9.800,      1.166, 0
    10.075,      1.076, 0
    10.349,      0.985, 0
    10.620,      0.893, 0
    10.890,      0.800, 0
    11.156,      0.705, 0
    11.420,      0.610, 0
    11.681,      0.513, 0
    11.940,      0.415, 0
    12.195,      0.317, 0
    12.446,      0.218, 0
    12.407,      0.000, 0
     2.222,      4.154,      42.48
     6.314,      6.662,      20.53
     7.619,      7.142,      19.82
     8.690,      7.520,      19.11
     9.672,      7.854,      18.41
    10.613,      8.161,      17.70
    11.539,      8.450,      16.99
    12.463,      8.726,      16.28
    13.395,      8.992,      15.58
    14.340,      9.249,      14.87
    15.305,      9.499,      14.16
    16.292,      9.741,      13.45
    17.306,      9.977,      12.74
    18.350,     10.207,      12.04
    19.426,     10.429,      11.33
    20.537,     10.645,      10.62
    21.686,     10.853,       9.91
    22.875,     11.053,       9.20
    24.106,     11.245,       8.50
    25.383,     11.427,       7.79
    26.708,     11.600,       7.08
    28.082,     11.762,       6.37
    29.510,     11.913,       5.66
    30.993,     12.050,       4.96
    32.535,     12.175,       4.25
    34.137,     12.284,       3.54
    35.804,     12.376,       2.83
    37.539,     12.451,       2.12
    39.344,     12.507,       1.42
    41.224,     12.542,       0.71
    43.185,     12.554,       0.00
